energy,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_m,loudness,valence,Genre
High,Vivace,Low,Low,Low,4,Medium,SOL Major,[3 - 4.99],[0 - 19.99],Medium-High,Pop/Rock
High,Presto,Low,Low,Medium-High,4,Low,SOL Major,[3 - 4.99],[0 - 19.99],Low,Blues
Medium-High,Moderato,Low,Low,Medium-High,4,High,RE Major,[3 - 4.99],[0 - 19.99],Medium-High,Pop/Rock
Low,Andante,Low,High,Low,4,Medium,DO Major,[1 - 2.99],[0 - 19.99],Medium,Blues
Medium,Andante,Low,Medium-High,Low,4,Medium,FA Minor,[1 - 2.99],[0 - 19.99],Medium-High,Pop/Rock
Medium-High,Andante,Medium-Low,Low,Low,4,High,SI Minor,[3 - 4.99],[0 - 19.99],Medium-Low,Rap
High,Vivace,Low,Low,High,4,Medium,SI Minor,[5 - 9.99],[0 - 19.99],Low,R&B
Medium-High,Andante,Low,Medium-Low,Low,4,Medium,DO Major,[3 - 4.99],[0 - 19.99],Medium-High,Pop/Rock
Medium-High,Andante,Low,Low,Low,4,High,MI Minor,[3 - 4.99],[0 - 19.99],High,Pop/Rock
Medium,Presto,Low,Low,Low,3,Low,RE Minor,[3 - 4.99],[0 - 19.99],Medium,Pop/Rock
Medium-High,Moderato,Low,Low,Low,4,High,DO Major,[3 - 4.99],[0 - 19.99],High,Jazz
Medium-Low,Vivace,Low,High,High,3,Low,SI Minor,[3 - 4.99],[0 - 19.99],Medium-Low,Blues
High,Vivace,Low,Low,Low,4,Low,RE Minor,[3 - 4.99],[0 - 19.99],Low,Blues
Medium,Andante,High,Medium-High,Low,4,Medium,DO Major,[3 - 4.99],[0 - 19.99],Medium-Low,Pop/Rock
Medium-Low,Moderato,Low,Medium,Low,4,Low,RE Major,[3 - 4.99],[0 - 19.99],Low,Pop/Rock
Medium-Low,Andante,Low,Medium,Low,4,Low,DO Major,[1 - 2.99],[0 - 19.99],Medium-Low,Pop/Rock
Medium-Low,Moderato,Low,Medium,Low,4,Medium,SOL Major,[3 - 4.99],[0 - 19.99],Low,Jazz
Medium-High,Vivace,Low,Low,Low,4,Medium,SI Minor,[3 - 4.99],[0 - 19.99],Medium-High,Pop/Rock
Medium-High,Andante,Low,Low,Low,4,Medium,DO Major,[3 - 4.99],[0 - 19.99],Medium-High,Pop/Rock
High,Moderato,Low,Low,Low,4,Medium,DO Minor,[3 - 4.99],[0 - 19.99],Medium-High,Pop/Rock
Medium-Low,Andante,Low,High,Medium-High,1,Low,RE Major,[5 - 9.99],[0 - 19.99],Low,Blues
Medium-High,Moderato,Low,Low,Low,4,Medium,MI Major,[3 - 4.99],[0 - 19.99],Medium-High,Pop/Rock
Medium-High,Andante,Low,Medium-Low,Low,4,High,DO Minor,[5 - 9.99],[0 - 19.99],Medium-Low,R&B
Medium-High,Vivace,Low,Low,Low,4,Medium,SOL Major,[5 - 9.99],[0 - 19.99],Medium-High,Pop/Rock
High,Moderato,Low,Low,Low,4,Medium,RE Minor,[5 - 9.99],[0 - 19.99],Medium-Low,Pop/Rock
Low,Lento,Low,High,High,4,Low,SOL Minor,[5 - 9.99],[20 - 39.99],Low,Jazz
Low,Andante,Low,High,High,4,Medium,LA Major,[5 - 9.99],[20 - 39.99],Low,Blues
Medium,Moderato,Low,Low,Low,3,Medium,SI Major,[5 - 9.99],[0 - 19.99],Low,Pop/Rock
High,Moderato,Low,Low,Medium-High,4,High,SI Major,[5 - 9.99],[0 - 19.99],High,Blues
High,Vivace,Medium-Low,Low,Medium-High,4,Medium,SI Minor,[5 - 9.99],[0 - 19.99],Low,Pop/Rock
High,Andante,Low,Low,High,4,Low,DO Major,[5 - 9.99],[0 - 19.99],Medium-Low,Pop/Rock
High,Vivace,Low,Low,Low,4,Medium,MI Minor,[3 - 4.99],[0 - 19.99],Medium,Pop/Rock
High,Andante,Medium-Low,Low,Low,4,Medium,SI Minor,[5 - 9.99],[0 - 19.99],Medium-High,Reggae
High,Vivace,Low,Low,High,4,Low,MI Major,[1 - 2.99],[0 - 19.99],Medium,Rap
Medium,Moderato,Low,Low,Medium,4,High,DO Major,[5 - 9.99],[0 - 19.99],High,Rap
High,Moderato,Low,Low,Medium-Low,4,High,DO Major,[5 - 9.99],[0 - 19.99],Medium,Rap
Medium,Lento,Medium,High,Low,4,Medium,FA Minor,<1,[20 - 39.99],Medium-Low,Pop/Rock
High,Moderato,Low,Low,Low,4,High,DO Minor,[3 - 4.99],[0 - 19.99],Medium-High,Pop/Rock
Medium-High,Moderato,Low,Low,Low,4,Medium,SOL Major,[3 - 4.99],[0 - 19.99],Medium-Low,Pop/Rock
Medium-High,Moderato,Low,Low,Low,4,Medium,LA Major,[5 - 9.99],[0 - 19.99],Medium,Blues
Medium-High,Andante,Low,Low,Low,4,Medium,RE Major,[3 - 4.99],[0 - 19.99],Medium-Low,Pop/Rock
High,Vivace,Low,Low,Low,4,Medium,SOL Major,[1 - 2.99],[0 - 19.99],Medium-High,Pop/Rock
Medium-Low,Moderato,Low,Low,Low,4,Medium,RE Major,[5 - 9.99],[0 - 19.99],Low,Pop/Rock
Medium-High,Moderato,Low,Low,Medium-High,4,Medium,SOL Major,[5 - 9.99],[0 - 19.99],Medium-Low,Electronic
High,Moderato,Low,Low,Low,4,High,FA Minor,[3 - 4.99],[0 - 19.99],Medium,Reggae
High,Moderato,Low,Low,High,4,Low,MI Minor,[1 - 2.99],[0 - 19.99],Low,Pop/Rock
Medium-High,Moderato,Low,Low,Low,4,High,RE Major,[1 - 2.99],[0 - 19.99],Medium-High,Pop/Rock
Low,Lento,Low,High,Low,4,Medium,MI Minor,[3 - 4.99],[0 - 19.99],Low,Jazz
Low,Andante,Low,High,High,4,Low,SOL Major,[3 - 4.99],[20 - 39.99],Low,Pop/Rock
High,Moderato,Low,Medium-Low,High,4,High,SI Minor,[5 - 9.99],[0 - 19.99],Low,Blues
High,Moderato,Low,Low,Low,4,High,DO Minor,[3 - 4.99],[0 - 19.99],Medium-High,Pop/Rock
Medium,Moderato,Low,Low,Low,4,Medium,SOL Major,[3 - 4.99],[0 - 19.99],Medium,Pop/Rock
Medium-High,Moderato,Low,Medium-Low,Low,4,Medium,SOL Major,[3 - 4.99],[0 - 19.99],Medium-Low,Pop/Rock
High,Vivace,Low,Low,Low,4,Medium,LA Major,[3 - 4.99],[0 - 19.99],Medium,Pop/Rock
Medium-High,Moderato,Low,Medium-Low,Low,4,High,SI Minor,[3 - 4.99],[0 - 19.99],Low,Pop/Rock
High,Vivace,Low,Low,Low,3,Medium,DO Major,[3 - 4.99],[0 - 19.99],Medium,Pop/Rock
High,Moderato,Low,Low,Medium-High,4,Low,SOL Major,[3 - 4.99],[0 - 19.99],Medium-Low,Pop/Rock
Medium,Andante,Low,Low,Low,4,Medium,DO Major,[3 - 4.99],[0 - 19.99],Medium-Low,Blues
