energy,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,dance,key,duration_m,loudness,c,valence,mode,Genre,x,y
High,Vivace,Low,Low,Low,4,Medium,2,SOL,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-High,Major,Pop/Rock,1,1
High,Presto,Low,Low,Medium-High,4,Low,1,SOL,[3.0 _ 5.0],[0.0 _ 20.0],1,Low,Major,Blues,1,1
Medium-High,Moderato,Low,Low,Medium-High,4,High,3,RE,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-High,Major,Pop/Rock,1,1
Low,Andante,Low,High,Low,4,Medium,2,DO,[1.0 _ 3.0],[0.0 _ 20.0],1,Medium,Major,Blues,1,1
Medium,Andante,Low,Medium-High,Low,4,Medium,2,FA,[1.0 _ 3.0],[0.0 _ 20.0],1,Medium-High,Minor,Pop/Rock,0,0
Medium-High,Andante,Medium-Low,Low,Low,4,High,3,SI,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-Low,Minor,Rap,1,1
High,Vivace,Low,Low,High,4,Medium,2,SI,[5.0 _ 10.0],[0.0 _ 20.0],1,Low,Minor,R&B,1,1
Medium-High,Andante,Low,Medium-Low,Low,4,Medium,2,DO,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-High,Major,Pop/Rock,0,0
Medium-High,Andante,Low,Low,Low,4,High,3,MI,[3.0 _ 5.0],[0.0 _ 20.0],1,High,Minor,Pop/Rock,0,0
Medium,Presto,Low,Low,Low,3,Low,1,RE,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium,Minor,Pop/Rock,1,1
Medium-High,Moderato,Low,Low,Low,4,High,3,DO,[3.0 _ 5.0],[0.0 _ 20.0],1,High,Major,Jazz,1,1
Medium-Low,Vivace,Low,High,High,3,Low,1,SI,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-Low,Minor,Blues,0,0
High,Vivace,Low,Low,Low,4,Low,1,RE,[3.0 _ 5.0],[0.0 _ 20.0],1,Low,Minor,Blues,0,0
Medium,Andante,High,Medium-High,Low,4,Medium,2,DO,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-Low,Major,Pop/Rock,0,0
Medium-Low,Moderato,Low,Medium,Low,4,Low,1,RE,[3.0 _ 5.0],[0.0 _ 20.0],1,Low,Major,Pop/Rock,0,0
Medium-Low,Andante,Low,Medium,Low,4,Low,1,DO,[1.0 _ 3.0],[0.0 _ 20.0],1,Medium-Low,s,Pop/Rock,0,0
Medium-Low,Moderato,Low,Medium,Low,4,Medium,2,SOL,[3.0 _ 5.0],[0.0 _ 20.0],1,Low,Major,Jazz,1,1
Medium-High,Vivace,Low,Low,Low,4,Medium,2,SI,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-High,Minor,Pop/Rock,0,0
Medium-High,Andante,Low,Low,Low,4,Medium,2,DO,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-High,Major,Pop/Rock,0,0
High,Moderato,Low,Low,Low,4,Medium,2,DO,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-High,Minor,Pop/Rock,0,0
Medium-Low,Andante,Low,High,Medium-High,1,Low,1,RE,[5.0 _ 10.0],[0.0 _ 20.0],1,Low,Major,Blues,0,0
Medium-High,Moderato,Low,Low,Low,4,Medium,2,MI,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-High,Major,Pop/Rock,0,0
Medium-High,Andante,Low,Medium-Low,Low,4,High,3,DO,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium-Low,Minor,R&B,1,1
Medium-High,Vivace,Low,Low,Low,4,Medium,2,SOL,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium-High,Major,Pop/Rock,0,0
High,Moderato,Low,Low,Low,4,Medium,2,RE,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium-Low,Minor,Pop/Rock,0,0
Low,Lento,Low,High,High,4,Low,1,SOL,[5.0 _ 10.0],[20.0 _ 40.0],1,Low,Minor,Jazz,1,1
Low,Andante,Low,High,High,4,Medium,2,LA,[5.0 _ 10.0],[20.0 _ 40.0],1,Low,Major,Blues,0,0
Medium,Moderato,Low,Low,Low,3,Medium,2,SI,[5.0 _ 10.0],[0.0 _ 20.0],1,Low,Major,Pop/Rock,0,0
High,Moderato,Low,Low,Medium-High,4,High,3,SI,[5.0 _ 10.0],[0.0 _ 20.0],1,High,Major,Blues,1,1
High,Vivace,Medium-Low,Low,Medium-High,4,Medium,2,SI,[5.0 _ 10.0],[0.0 _ 20.0],1,Low,Minor,Pop/Rock,0,0
High,Andante,Low,Low,High,4,Low,1,DO,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium-Low,Major,Pop/Rock,0,0
High,Vivace,Low,Low,Low,4,Medium,2,MI,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium,Minor,Pop/Rock,0,0
High,Andante,Medium-Low,Low,Low,4,Medium,2,SI,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium-High,Minor,Reggae,1,1
High,Vivace,Low,Low,High,4,Low,1,MI,[1.0 _ 3.0],[0.0 _ 20.0],1,Medium,Major,Rap,1,1
Medium,Moderato,Low,Low,Medium,4,High,3,DO,[5.0 _ 10.0],[0.0 _ 20.0],1,High,Major,Rap,0,0
High,Moderato,Low,Low,Medium-Low,4,High,3,DO,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium,Major,Rap,0,0
Medium,Lento,Medium,High,Low,4,Medium,2,FA,<1,[20.0 _ 40.0],1,Medium-Low,Minor,Pop/Rock,0,0
High,Moderato,Low,Low,Low,4,High,3,DO,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-High,Minor,Pop/Rock,0,0
Medium-High,Moderato,Low,Low,Low,4,Medium,2,SOL,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-Low,Major,Pop/Rock,0,0
